review_id,product_id,title,author,rating,content,timestamp,profile_id,is_verified,helpful_count,product_attributes
R1M1ZIK6WZ8AIK,B0C8PR4W22,5.0 out of 5 stars Excellent Low cost AirPods Max alternative! A classic revisited!,Mahajo,5,"My earliest forays into a More expensive headphone was with the Beats Brand and the wired Beats Pro headphones. Then I graduated to the wireless Beats Studios, as well as the Executive headphones and those were my headphones for years. I don’t recall the noise cancelling being anything at all and of course there was no such thing as a transparency mode back then, but at the time I loved the look, the colors (especially metallic gold of the Beats Studios) and enjoyed the heavy bass sound they provided. As I grew more sophisticated and appreciated more sound quality, I moved on to other headphones (plus my last pair of Beats Studio the hinge broke on one side). I had tried the Beats Solo Pros and wanted to love them but they were, though improved, still an on-ear headphone and too uncomfortable for me. I had hoped then that an update for the Studios to Studio Pros was imminent but turned out it would be awhile before this did come to pass but I knew once it did I would have to buy them and try them out eventually. It didn’t take long as I saw they went on sale for $100 off only a month after release and I jumped on that deal! I am pleasantly impressed for the most part. They do a lot of the same things as the AirPods Max, if not as well. Sound quality is really good and has a more neutral sound than previous Beats Studios did. The Dolby Atmos with head tracking is fun. They are a little bright sounding and I sometimes have to either turn down the volume or use the eq on the iPhone Music App to lower the treble, or turn off the Spatial Stereo feature in the control center, (long press on the volume slider) but overall I find the sound pleasant and lively. There are no wear sensors, but I love the old school B buttons for pausing, volume and skipping and rewinding tracks very easy and intuitive after using Beats Studios for years so I don’t really miss it that much frankly. They are fairly comfortable, the cushioning on the ear pads and headband are plush but they do have a strong clamping force which might bother some but doesn’t bother me overly much, and I am fan of how stable they feel on my head. Noise canceling is quite good but as is expected not at AirPods Max level. I’ve always loved the 5 LED lights on the bottoms of the right ear cup which will show you the battery level when pressed. A double press of this button will switch between ANC and Transparency. Long press for Bluetooth pairing. No auto-switching between devices but once connected to a device in your iCloud, they automatically show up in other devices in the cloud and a press within the Bluetooth’s settings will switch it to the other device quickly and easily. The headphones will announce messages and you have the ability to use “Hey, Siri’ but I’ve noticed sometimes audio will stop with an announcement or Siri activation and may not continue playing music on its own, but a simple press of the “B” button will start play again. On the AirPods Max audio will reduce significantly but not stop, but with these the sound stops abruptly which can be jarring at first when the announcement is made. Of course you can turn off announcements in the control center if you want to avoid the interruption altogether. Build quality is plastic but still solid with metal sliders that have a jarring but somehow pleasing click as you slide them in or out. They are also very light, certainly lighter than the AirPods Max (which I also own). Also the case is nice with a spot for cables and even another pouch inside on the other side if you need it, but can’t really imagine adding much as with the headphones in, there really isn’t a lot of room. If you can get these on sale especially I would recommend then as a less pricey alternative to the more expensive headphones like the AirPods Max. I’m a fan of the sandstone color, I hear the dark colors, especially black, are finger smear magnets. These are a little bit like that, but with the light color it is much less of an issue. These are a classic revisited and I will always have a soft spot for the Beats Studio (now pros) headphones! I forgot to mention that you can use the usb c cable for lossless audio from your computer or iPad, which is awesome, although i have yet to try that out as I am all about wireless functionality, I don’t like being tied down to wires! Still great option, and one the AirPods Max cannot do (yet anyway). These are a great option for those not willing or able to spend more and still great a great headphone!","Reviewed in the United States September 11, 2023",AGUIQ5S5JSDEN4XKQGG5JPZZQNHQ,True,344,Color: SandstoneStyle: Studio ProSet: Without AppleCare+
R1MZVYL3ULXVYC,B0C8PR4W22,"5.0 out of 5 stars The King is back, for a niche audience",Apple nerd,5,"I loved my Beats Solo headphones as a teenager. I’m talking monster cable beats. Nothing was cooler, the bass was thundering, and while it didn’t sound great, it sounded so much better than the iPod in ears or my dad’s old crappy walkman on-ears I was used to. I listen to mostly electronic music, bass/dubstep, house & techno, all of that with some hip/hop and pop sprinkled in as well. I also love movies.As an adult at home, I have my beyerdynamic dt 770 pros for mixing and editing with. I have a pair of AirPods Pro 2s for travel and day to day usage. Recently, I have started to work from home a lot more in meetings, and there has been a lot of construction outside my window, and I hate having things stuck in my ears for hours on end so I was in the market for a pair of noise canceling over ear headphones.My partner has a pair of AirPods Max, I found the sound to be really great, detailed with good sound stage and flat great for voice but clinical and safe in all respects and lacking the bass I was looking for. Even with the top-of-the-pack anc and apple integration features I was used to on my in-ears I never could swallow the price. Also they were comfortable, but so heavy and not suited for long periods of wear. And the case was weird.So I tried the bereydynamic lagoon ANCs. They were garbage. Impossible to use the controls and pair with devices, sounded really good but not as good as I would expect from this brand, and the issues go on and on. They did have good bass, but the anc barely worked. I liked them at a lot at first, but they fell apart so quickly.Then I saw that apple had brand new beats headphones, and were 30% off on Amazon. I had to try them, the nostalgia hit hard and I’m so happy they didn’t change the iconic design from the studio 2s which I also liked as a replacement for my solos. I. Am. Floored. Super lightweight yet feel very solid and no creaking, apple integration features (i consider no auto switching to be a plus tbh, but icloud pairing is a must. Works very well with Apple TV), but the sound! Is so FUN. It’s like I’m in a concert hall with huge racks of speakers and towers of subwoofers. So much better than my old beats, by a landslide. Great instrument separation, and decent soundstage, sounds less like a wall of sound like my pro 2s do but not as wide and spatial as the max. A little bright for my taste, but never enough to cause fatigue. None of them come close to the 770s of course - would I recommend these for classical? Or acoustic? Never. Or for any type actual professional work? No. But if you like electronic, you will have so much fun enjoying music with these. The ANC and transparency is very very good, identical to my AirPods Pro, I would argue maybe even better than the max in some situations. The mic quality is good, not as good as my AirPods but good enough for work calls. I also love watching movies, and having multi-channel support like my pro 2s is epic. I absolutely love these - and am so happy I got them!","Reviewed in the United States September 7, 2023",AEUHSKBV2ADJTTXVB55RN7UQQZTA,True,359,Color: BlackStyle: Studio ProSet: Without AppleCare+
R2TKWVR4L10Q0W,B0C8PR4W22,5.0 out of 5 stars Very good and an honest review,Jeffrey K.,5,"I bought my beats studio pros (blue) as my old Bose Headphones died. Bluetooth linked perfectly to my devices. There is some audio lag (latency) if watching video (similar to all other audio devices I've used). I personally love that it comes with a 3.5mm audio cord. I used that to watch video on my computer. It saves battery and with the cord there is no latency. Sometimes it is just nice to have a corded headphone. Without the cord, the bluetooth range is pretty good.Sound quality is very good and I am most impressed with its ability to do DOLBY ATMOS. Make sure the content you are listening to is formatted for ATMOS and that your phone/device has atmos turned on. It makes a big difference. Bass sounds good and deep but maybe a little less than expected for Beats. Volume turned up loud did not make crackling noises or become distorted. Battery lasts a decent amount and nice to recharge by USB (goodbye batteries!). Noise cancelling is pretty good too and with audio playing it gets rid of any outside noises.Some people complained about the comfort and their ears hurting. I have not experienced this. The ear pads are pretty soft and your ear (mine at least) fits INSIDE the padding verses ON my ear. I can wear for hours and have no issues.Overall a well made product that sounds great for $200 (Deal Price). I'm happy with it and my beats studio buds!","Reviewed in the United States April 12, 2024",AEKNOXKFYEIDCUI3EPV3XUTZPHBA,True,37,Color: NavyStyle: Studio ProSet: Without AppleCare+
R3RSUGFYRCGKOF,B0C8PR4W22,"5.0 out of 5 stars Great Sound, Good Quality.",Spazzola,5,"Well, after having lost one of my AirPods (gen3) and not being able to justify purchasing a replacement left pod for $90, I started doing research.I came across these beats studio pros and looked at their stats. 40 hours of play time? Probably the most enticing thing about them to me. Then came the active noise cancellation, and spatialized audio. ANC intrigued me. I wanted it to be better than the AirPods at cutting out sound. While I was looking into these I happened to be doing it during Black Friday deals. Which meant I thought they were $170, which was the price of brand new AirPods. Then I saw their original price of $350. Which enticed me even more in a way, thinking of the price tag fallacy, higher price must mean quality. I mulled this over and over and eventually ended up missing the half off sale. Then I knew I wanted these babies. I watched and waited for a sale to come up again. I was not willing to pay $350 for wireless headphones, as I am not willing to pay $350 on just about anything, but thats just me. For me, $179 is splurging significantly. I caught another sale. I bought them and hoped for the best.I will have to be honest in saying I was hesitant to stray from AirPods and move over to headphones. The less I have on me the better, so having something sit in my ear rather than over my head appeals to me. But having my device constantly slip out of my ear or feel unsecured was not enjoyable. That’s how I lost my left AirPod in the first place. These headphones feel sturdy for me. I was pleasantly surprised. Although I still did not particularly care for a bulkier heavier device, I did appreciate their securedness. They do eventually make my ears sore but I usually just adjust them. I will not count this against them because every pair of headphones I have ever owned eventually made my ears hurt or gave me a headache. Im sensitive what can I say? The padding on the top band that goes over your head was a nice touch.The ANC is powerful. I loved being immersed in my music. I have no complaints really.Spatial Audio… I personally could care less about it, so I don’t have much to say about it. I just don’t use it as a personal choice, not saying it isn’t good.The sound quality seems adequate to me.The volume is pretty great, I never have to have it all the way up to get clear sounding audio or to feel like I can actually hear something. Which with my AirPods was a constant problem.The mic on these, I am thoroughly impressed with. Compared to my AirPods, its like award winning lol. People on calls usually can’t tell I am using a headset at all.I’m not sure how long it truly takes to charge them, as I haven’t charged them from dead to full yet. I imagine from the little bit of charging I did do when they first arrived they will take a little bit, but to me it’s worth it.Overall, I feel my money was well spent on a good product. I got a better bang for my buck with these beats than I did with my airpods. The compactness of AirPods are nice, and I like a compact item so having a larger device is something to get used to but I still think it’s worth it.","Reviewed in the United States January 15, 2024",AFGMDHUXSF76BWEEVF5IAL7E6NKQ,True,62,Color: NavyStyle: Studio ProSet: Without AppleCare+
R19726D1M2NGAW,B0C8PR4W22,"4.0 out of 5 stars An expensive, high quality headset with some pros, and some strong cons to consider.",Weave™,4,"Beats has been around for quite some time, and has developed a good reputation alongside Bose, Sony and others. So I was excited to try these out - especially after my experience with Anker.PROS: the sound quality is very good. Not Bose good, but close. Close enough for airline travel. The headset rests on my big head with no issue and the pressure from wearing them isn't uncomfortable.I like the Transparency mode, especially when travelling, so I can hear the crew announcements easily.I also like that it comes with a 1/8"" audio male-to-male cable for use on airlines with traditional audio jacks.And - controlling the headsets using my iPhone is a nice feature.CONS: The perceived air pressure on the eardrums from full noise cancellation is STRONG. Almost uncomfortably so, and you'll see similar comments from others here in the Reviews section. It takes getting used to. I almost sent these back, but in the end, the pros outweighed this issue. You may find it too much for you.Expensive: these are pricey, and if you're going to drop this much coin, you should at least try the Bose QuietComfort cans first. While they'll lack the iPhone integration, they may end up being more comfortable for you.Bass: ummm - where IS the bass? These are Beats, right? Studio Pro edition? I'm not really getting the lower frequencies here. Maybe I missed a step during setup. The sound quality is good but I thought a lot of Beats' reputation was based on the bass.All in all, I mostly don't regret my decision. But definitely try more than one model before you decide for sure.","Reviewed in the United States March 10, 2024",AE66YM6J42DY23ARCZVC74NSZSAQ,True,88,Color: NavyStyle: Studio ProSet: Without AppleCare+
RES90N3UIN1OY,B0C8PR4W22,5.0 out of 5 stars Worth it,Erica 🌞,5,"I was looking for heavier headphones to wear while working out. These work great, I can bend over and they won’t slip off. They were pricey but worth it in my opinion. Sound quality is top tier, battery lasts a few days if using a few hours a day. They do suction to your ears a bit so my ears are tender after wearing them for over two hours but it’s still mostly comfortable.","Reviewed in the United States June 7, 2024",AGRW3MRCTLBBRFXD5UCXWMIJKMEQ,True,4,Color: SandstoneStyle: Studio ProSet: Without AppleCare+
R3DRKG1RCX4FWA,B0C8PR4W22,5.0 out of 5 stars Attractive - effective,Art W.,5,"I was wary about a rapper recommending headphones to me, a melodic musician. I bought on sale with the fear I'd have to return them. Surprisingly, they are excellent; the sound, including bass response is rich and vibrant without the curse of booming bass. I wear hearing aids behind my ears and the cups fit over them very nicely, boosting the sound as needed with earpiece controls. They are also very attractive and fold into the included case for carrying. To nitpick: the ear cups could be a bit larger but suffice. An excellent product!","Reviewed in the United States June 29, 2024",AGOVEJJB6MHSPSQU6YHLLWXNB32Q,True,0,Color: SandstoneStyle: Studio ProSet: Without AppleCare+
RDHOFA7MKRYPL,B0C8PR4W22,5.0 out of 5 stars THEY DESERVE NEGATIVE STARS,Warning Please Read!!!,5,"Please read this review if you are thinking of buying g these headphones!!!!! They are on sale for a reason, and it’s not because they are good or even meh. I compared them to my old Studio 2’s from 2013 (11 years old) and they are horribly different.I had high hopes for beats since I use the fit pros, and boy was I disappointed. More than disappointed I was let down. I still have my Beats Studio 2’s from 2013 the silver titanium color way, and I’ve loved every minute of having them because of the loudness and club-like thump they have to them. They are relatable to one of the cars that passes by you with the windows shaking because the bass is so hard. Especially after 11 years that they still work and function the same as they did when I bought them minus a few cosmetic defects. So with high hopes and promises that these Beats Studio Pros would be just as great, I ordered them and got the maroon color because I liked the color. I should have known that if the colors have to be nice to make up for how awful the headphones were I wouldn’t have even glanced at these.These headphones are great if you want to listen to something and you have a hearing aid so it doesn’t hurt your ears. The sound is not nearly as loud as the 2013 model and being 11 years old I was very surprised. Apple has ruined the name Beats and all of their headphones minus the earbuds since all earbuds are relatively the same(I have the fit pros now and they are great) but the fact that brand new headphones can’t outperform 11 year old ones is just sad. Disappointing. A let down. I was thinking the new model would be the same if not better than the old ones I have since the treble and mids may have changed in the time I’ve had the headphones but I was so wrong. They sound almost the exact same with one major difference. The bass. The one thing that I feel most people loved about Beats was the bass and how it would sound like you just walked into a club when you wear them. I was utterly distraught. The studio pros on Bluetooth were so bass negative I thought I didn’t have the volume all the way up. Once I realized I did I thought maybe it was just the fact I wasn’t using one of the ‘3 specialized audio modes’ that the new model has. Even there I was let down. I played different songs, tried different audio settings on my phone like bass boosted and acoustic and rock but none of them helped the headphones. So after all the thoughts that went flooding through my head, one thing stuck out. Apple had ruined the classic Beats headphones. Don’t get me wrong the sound of the treble and mids was fine but still nothing compared to an 11 year old model. I was highly disappointed overall and would not recommend these to anyone even if they have an unlimited budget. It is just not worth the letdown.","Reviewed in the United States March 28, 2024",AFDOLKER2GHNCK53GDAR2YNQPMVQ,True,74,Color: Deep BrownStyle: Studio ProSet: Without AppleCare+
R2UXJLAZR33T40,B0C8PR4W22,4.0 out of 5 stars Same Headphones for same price at Apple; Purchase AppleCare Plus for $29 from Apple,Amazon Customer,4,"I love my new Beats. I gave it four stars because I keep getting disconnected from my phone. I will update the rating if I figure out why and can correct the dropped calls. I will contact Apple support when I get a chance.This review is being written regarding AppleCare Plus. Huge suggestion: Buy AppleCare Plus directly from Apple for $29. Save yourself the hassle! Also, I recommend checking the price. I just purchase the Beats Studio Pro from Amazon for $179. Regular price was $349. Apple is also selling them for $179 as today, 6/16/24. I'm writing this long review I. Case it helps in regards to purchasing protection. I wanted to understand why AppleCare Plus was rate 4 stars instead of 5. I've had it and have it for several products and have always been highly satisfied. After reading nearly all of the 1-star reviews, the same message stood out- DO NOT PURCHASE APPLECARE PLUS FROM AMAZON. I decided to forgo reading the 5-star messages from approximately 64% of the customers, and just heed the message to purchase directly from Apple. Below is my experience in doing so. Again, to be fair, I cannot review the process for purchasing this plan through Amazon because I did not do so -I just wanted to avoid any hassle.I spoke with 3 different people from Apple's support team- one person via chat and two people on a phone call. All three people were extremely helpful, friendly, and made sure they did everything to help. It took nearly 45 minutes to purchase because the problem was my purchase date showed up as April 15, 2024 versus the true purchase date June 14th, 2024. The chat agency tried to change the date and it took down. Despite her efforts she was unable to change the date on her end so arrange to have someone call. A support person called, I missed the first call somehow,contacted the old chat message asking for a new call time. The support agent happened to called back anyways and the chat agent had also arranged a new call. So helpful on both ends. After speaking with the support person, he had to get additional help because again, the purchase date was not showing up. The last young lady I spoke to was able to work magic on her end and set it up where I was finally able to purchase AppleCare Plus for $29. I am highly satisfied with the support I received from Apple and I have peace of mind knowing my headphones are protected for 2 years! Next time, I will purchase products directly from Apple if the price is pretty much the same. This way, I can easily add AppleCare Plus! Had I checked before hand, I would have seen that Apple was offering the headphones for the exact same price as Amazon.","Reviewed in the United States June 15, 2024",AEL3YFH2XJPGWP5J3F4I2KFB5KCA,True,0,Color: SandstoneStyle: Studio ProSet: Without AppleCare+
R2XAKEZ1YV6ZXY,B0C8PR4W22,5.0 out of 5 stars Mom necessity,AlyssaBentley,5,"If you are a stay at home, mom like I am you definitely need these. I use these every single day without fail. Normally, I would not spend the money on these because they are expensive, but my husband bought these for me as a gift and they are the greatest gift ever. Use these normally when I go to the gym to tune out to any clinking weights and just so I can focus on my music or podcast. But the game changer is when I use these for daily chores while my kids are napping. I can still listen to music that I want, and listen to a podcast WHILE I am vacuuming and I don’t miss a thing. These are also great when my husband gets home from work and I’m trying to put dinner together together. I put these on and I can tune out the noise and the kids so I don’t go insane. The noise canceling on these is perfect. These are definitely worth the money in my opinion and also a great Mother’s Day gift or birthday gift for an overstimulated mom.","Reviewed in the United States July 2, 2024",AH3VYDJ3HII3MIMZOXN6HWTFIIZA,True,0,Color: SandstoneStyle: Studio ProSet: Without AppleCare+
