review_id,product_id,title,author,rating,content,timestamp,profile_id,is_verified,helpful_count,product_attributes
R387VQO0IULZOU,B08YJ3W1HB,5.0 out of 5 stars No more sweaty ears!,Michal,5,"I’m not an audiophile. My AirPods stopped working so I decided I wanted to try on-ear noise canceling headphones with a long battery life. My primary intention is to use them for work calls.I ordered the Bose QC45, very happy with them (I should also mention I was happy with the sound from my basic AirPods before). Except I couldn’t wear them for longer than an hour because my ears would start profusely sweating??? I googled this and turns out it’s a thing! Some people get hot ears from the synthetic material of the ear cups.The main reason I ordered these was because of the leather ear cups. It worked! No more sweaty ears. My ears are bigger than the round part, maybe that’s why, but I still find them very comfortable. Given the “lack of seal” I find the ANC to be fine for my needs.One thing I find annoying is that to put them back in their case, you have to slide the sides back in. They slide smoothly and aren’t notched. So basically, every time I take them out of the case I have to readjust them when I put them on, and since they’re not notched as you slide the sides out I find myself readjusting a few times.The other thing - I was getting frustrated connecting these to my windows work laptop for video calls, but then I remembered there’s an audio jack in the case so now I just use that with no issues. I don’t think they automatically connect to my iPhone like the Bose ones did, but that may be user error. It doesn’t seem like you can easily go between devices like I can with my AirPods from iPhone to MacBook. I didn’t find the app to be intuitive for this either. Hopefully I’ll eventually figure it out.Lastly, I did find that these needed to be broken in - I didn’t know that was a thing, the Bose ones didn’t. Right out of the box, music sounded like it did with my AirPods. I played with the settings, etc. For my needs I didn’t really care, I just wanted my ears to stop sweating. Then one day I was listening to music and the sound was much more impressive.I ordered the sand color, but in hindsight I wish I had gotten black. The case is light grey for these and I’m concerned about staining over time if I’m not super careful. Subjective, but I think black would probably also look more sophisticated on video calls. Overall I’m very happy with these!","Reviewed in the United States October 14, 2022",AEHP2RZXKFSJ563FSDU5WFMGK7MA,True,37,Color: SandSize: One SizeStyle: Headphones
R2P5659UWIUH6I,B08YJ3W1HB,5.0 out of 5 stars They're Very Good,Ethan Barbee,5,"I've been using these for several months now. Originally I gave them 4 stars and a good review, but they're better than that. They're easy to connect to my phone and the B&O app has a fantastic equalizer on it.They're best for voice and instrument clarity. Beautiful. Individual percussion pieces are clear. The only deficit they have would be bass. But I'm not a bass guy so that works for me.They're beautiful comfortable and sound great. Highly recommended.","Reviewed in the United States November 25, 2023",AEOMNSFUKAOLDVBX7HYX64VEXTEQ,True,5,Color: TimberSize: One SizeStyle: Headphones
RR5QRSK8O5IH3,B08YJ3W1HB,5.0 out of 5 stars Amazing sound,iShopper,5,Comfortable and excellent sound quality,"Reviewed in the United States June 1, 2024",AE5DS2FFXGTMC4CGMVVM4M5LBB5A,True,0,Color: TimberSize: One SizeStyle: Headphones
R1TIPXHNTF7XSK,B08YJ3W1HB,4.0 out of 5 stars B&O HX vs Bose NC 700- Bose is the better buy,Cathy White,4,"Recently purchased both the Bang & Olufsen HX headphones and the Bose NC 700 headphones for comparison. My biggest must haves in over the ear headphones are sound quality, call quality and comfort.Call quality The B&O HX’s call quality is not up to par with Bose. While on a phone call walking outdoors wearing the B&O HX’s, the person on the other end of the call said the background noise was deafening and they could not hear me over the noise (city traffic and wind). I switched to the Bose while on the same call and it was worlds better, lowered background noise, and they could hear me much clearer. Bose won this test!Sound QualityThe sound quality of the B&O HX’s was good, however the sound quality depreciates when I switch over to noice canceling. Throughout all modes and different genres of music I noticed the bass is lacking and they focus more on the lyrics and spoken words rather than the music and lyrics. The Bose however blew me out of the water with sound quality, excellent bass, great clarity, and better EQ controls to customize to your liking. Bose wins here as well.ComfortThe B&O HX’s are comfortable headphones with amazing build quality. However the earpiece shape is more round than the Bose and did get uncomfortable after about an hour of use. I also found they struggle to stay planted on my head when I’m moving around quickly (not ideal for running or working out). The Bose however have a silicone lining on the upper arm and stay put on my head when running. Bose also won here!Overall the B&O HX’s are good headphones with excellent features and build quality but at $500 and compared to the Bose NC 700 headphones at $300 I could not justify the higher price tag. I need over the ear headphones to be a device I can use at work to take phone calls and video meetings, at the gym, on an outdoor walk, and on a plane. I feel as though the Bose are the better buy but glad I compared both to find the front runner!","Reviewed in the United States June 17, 2023",AFIV6EERHINRWYBMBWFSJBZ5Q3AA,True,40,Color: TimberSize: One SizeStyle: Headphones
R3D58316QDF388,B08YJ3W1HB,"3.0 out of 5 stars Good sound, meh noise cancellation, terrible Bluetooth",DVIR VOLK,3,"The good: They sound great, very crisp sound without too much bass. They're also pretty comfortable, but if you're moving around, say cleaning your house or something, they will fall off your head. Also, great battery life.The bad:1. HORRIBLE Bluetooth handling. Once you pair them to two devices, even if you're nowhere near the second device, upon turning them on, expect a few minutes of glitchy audio getting constantly cut, until it becomes okay. The only remedy to this is to factory reset the headphones and not pair them with more than one device. Again, this happens even nowhere near the second device.2. Iffy touch interface. I still can't reliably skip or pause with the touch interface. Volume is a bit more reliable and has a nice gesture to it.3. Pretty mediocre to sub par NC. Really unimpressive compared to Sony or Bose.In short, I would never buy these knowing what I know now, especially for such a high price.","Reviewed in the United States October 26, 2023",AGTD6Q3E7CICZW2AADBOP5VJ2URA,True,14,Color: Black AnthraciteSize: One SizeStyle: Headphones
R1C7N7OOO2GOON,B08YJ3W1HB,5.0 out of 5 stars B&O. What can I say?,HSTYCBT,5,"The media could not be loaded. I’ve been a big fan of B&O, got their A1 mini speaker and an A9 back at home. Top voice and instrument clarity, I’m a classical music listener and you just can’t go wrong with using B&O. My ears are a bit small so the auto-detect feature sometimes pause when I’m still having them on, but it’s okay I can pause myself. If you’re looking at something around the similar 400-500 price range (ahem AirPods Max) this is definitely the best pick with top sound quality and elegant look!","Reviewed in the United States January 28, 2024",AE6BJ7CV6NFQ2ZWPMX5Q7Y2WY2SA,True,3,Color: Gold ToneSize: One SizeStyle: Headphones
R23EXV2QKKJMFH,B08YJ3W1HB,5.0 out of 5 stars Can’t get any better,Ali Ahmad,5,"Hands down, these headphones are truly the best, unbelievable sound quality that you can control on the app with sound setting starts between warm to energetic, very comfortable on the ears and long lasting enjoyment and battery","Reviewed in the United States September 15, 2023",AGMTJQGJNQGFJZWGB7JJDJJL4BFQ,True,5,Color: Black AnthraciteSize: One SizeStyle: Headphones
R13V05PPNZ72D3,B08YJ3W1HB,1.0 out of 5 stars Terrible Build Quality,Ajd041,1,"I've owned B&O headphones since starting back in 2017 with the h6i, a wired headset that sounded and looked like no other I've ever had since. When the earcups stared to really wear out a couple years later I switched to some H4's, and then an H9i as a surprise Christmas gift.When the H9i's started having battery issues last year I replaced those (fortunately I still kept them to use as wired headphones at my desk) originally with the Beoplay Portal, which had horrible sound quality so I returned them, and I got these instead, the HX. God I wish I never did. They sound much better than the portals but have completely fallen apart on me in a year of normal use in ways none of the other pairs I've owned ever did.I am accustomed to needing to replace Bluetooth headphones every 2-3 years as a matter of course. I have chosen to stay with B&O because their combination of cool aesthetics and good sound (I've kind of weirdly gotten many compliments over the years about having a pair of these around my neck). The HX's sound stage is slightly more muddled in the mids than the H9i, especially when playing in Bluetooth. The controls are less fiddly than the H9i's and the leather felt softer.The build quality, however, is horrible. I'm used to having spots in the leather after daily driving them for years. What I am not used to, is the glue (or whatever) holding the earcups together to totally fall apart and expose the admittedly soft foam to the outside world. They did this just over one year of ownership, meaning I'm out of warranty, and replacement earcups are not available as far as I can tell as they were with previous B&O models.I'm not sure what to do with them at this point. I work from home so I still listen to them in bed from time to time but clearly they're literally falling apart after such a short time. B&O's quality seems to have really fallen off a cliff. Stay away from these if you want something that lasts.","Reviewed in the United States July 11, 2023",AGL2IYGUX266Q2V24CNVUZYH5CYQ,True,8,Color: SandSize: One SizeStyle: Headphones
RCE5CTURDNC27,B08YJ3W1HB,4.0 out of 5 stars I use them everyday but taking calls on them could be better,Abby C.,4,Very comfortable ear cushions and good sound. My only complaint is people say my voice is hard to hear when on calls with them. Other reviews said they experienced bath Bluetooth connection but I haven’t experienced that. Overall would recommend but not if the main intention is taking work calls.,"Reviewed in the United States June 2, 2024",AGKX7QGMCYTZT73WZZSLLXVNE5KQ,True,0,Color: Black AnthraciteSize: One SizeStyle: Headphones
R1GK336Q0XXK3X,B08YJ3W1HB,4.0 out of 5 stars Looks awesome but not on par vs other alternatives on the market - Noise Cancellation is poor,C. Bermudez,4,"Noise cancellation is poor to say the least. The headphones have a nice feeling and premium build but definitely are better options on the market. Sound quality is average, I've been trying another alternative and the Bose QC ultra are way better than these.","Reviewed in the United States April 23, 2024",AGIFCJLWOD6VTAXZX2ZBAOUWOJEA,True,0,Color: Black AnthraciteSize: One SizeStyle: Headphones
