review_id,product_id,title,author,rating,content,timestamp,profile_id,is_verified,helpful_count,product_attributes
RAI90QWJQJF03,B07YVYZ8T5,5.0 out of 5 stars Literally mind-blowing upgrading from AirPods Pro 2,Christian Waymire,5,"Beats**all coming from an airpods & airpods pro 2 user**Two notes about me:* I have a pretty average sized head & ears* I wear glassesThoughts:- Noise isolation is way better than people give credit for, works about as well as the active noise cancellation on my airpods pro 2.- I can FEEL the bass.- Can hear all kinds of details in music (like when I upgraded to airpods pro but slightly better than even those). The AirPods gen 2 did that for me, then the AirPods Pro 2 did it again, and now these are doing the same.- Electronic music sounds absolutely amazing. Better than any other headphones or speaker I’ve heard.- Classical sounds amazing—way better than AirPods Pro 2.- Folk sounds amazing, & it’s like someone’s playing a really high end guitar right next to me while also serenading me.- Piano also sounds especially amazing- Case is slightly padded, but leaves a lot to be desired there—they also barely fit (see pictures).- They feel durable, even at hinges (which shocked me).- They DO fingerprint easily, if that matters to you.- Box is very sleek & giftable.- Not having the automatic ear detection is really nice for when I lift one side up to hear someone or something.- They are more comfortable than AirPods Pro, even with memory foam ear tips on those. But they do get slightly annoying with glasses but there is a sweet spot where it’s not bad (if I angle the headband towards the back of my head instead of having it straight up and down). But it’s not so uncomfortable that I don’t want to use them. Merely a minor inconvenience.- I ever so slightly wish I could see the battery percentage on my phone while charging, but it’s not any real inconvenience.- The micro-USB charger is potentially going to be a slight inconvenience because they wear out—USB-C or a lightening cord would’ve been way better.- Pairing with an iPhone is extremely easy.- The included carabiner for the case is a nice afterthought, but it’s a super flimsy carabiner and the loop keeping it on the case is tiny and I wouldn’t trust it. If it were better sewn and had a bigger loop, that’d be fantastic. I CAN attach an aluminum locking carabiner, but it’s just barely big enough for that.- Charging seems pretty fast, and while I do wish it would show me the percentage while charging, I really appreciate seeing the percentage in the battery widget while connected because other non-apple Bluetooth headphones don’t have that and I’m left guessing how much is left on the tiny control center icon with those.In sum, I HIGHLY recommend these if you’re looking for good bluetooth headphones and don’t have $400+ to spend. I snagged them for $99.95, and I couldn’t be happier. They’re definitely a good value at $200, but they’re mind blowing at a part-time, minimum wage budget. Almost every feature has been either mind blowingly fantastic, but those that aren’t are barely worth commenting on.Are they perfect? No. Should one expect perfection at this price? Absolutely not. I’d highly recommend buying if they’re in your budget!!!","Reviewed in the United States October 17, 2023",AH6FFZWTYTQH3JFZKOI4VDFSDWRA,True,439,Color: BlackStyle: Solo3Set: Without AppleCare+
R1MJ08QRWZKAK6,B07YVYZ8T5,5.0 out of 5 stars My Go-to Headset,Amiyah Ogo,5,"After going through so many headsets during college I decided to get these ones. They are great for the price! Great headset for college students. However the only downside is they aren’t super comfortable to lay down in or sleep with, but still fit amazing, have great sound quality, auto connect to my devices with no issues. And also are very durable, I’ve dropped them multiple times and have had no issues after about 6 months of having them. 10/10 headset","Reviewed in the United States May 18, 2024",AFIJUR2VSHB22IMJLMDTASXNVQOQ,True,2,Color: BlackStyle: Solo3Set: Without AppleCare+
R2IQV1A1SCQDVZ,B07YVYZ8T5,5.0 out of 5 stars These headphones deserve the hype!,Mariah Chapman,5,"At last I finally found the perfect wireless headphones!! I bought these back in November when they were on sale for Black Friday (only $80!) and wanted to give them a test period before I reviewed them. Here’s what I’ve experienced this far:Pros1. The sound quality is impeccable. Literally everything is so clear and crisp. Funny enough, to put it into perspective, I was watching a movie and did not notice faint background music until I put these headphones on.2. The battery life is great. For me, they last roughly 72 hours before I need to fully recharge them. With charging, it takes maybe 40 minutes to an hour to get back up to a full charge. Impressive3. They’re compact and foldable. You’d be surprised how many headsets don’t fold when you’re done using them but these are perfect if you need to travel.4. They can connect to anything! I connected them to the Bluetooth on my tv for the first time since I didn’t want to wake my roommate up at 2am and set up was easy and simple.5. Changing the volume or song is simple and easy.6. Not really a pro, just an opinion, but they are really cute and stylish.Cons:1. A lot of people were right about them hurting your ears after having them on for too long; maybe more than 4 hours of continuous wear. I wish the part that goes around your ears was a little bigger to minimize the discomfort, but nonetheless it’s not a huge deal.2. Don’t connect them to numerous things at once. For instance, I had these paired with my iPhone and laptop at the same time. When I turned on my laptop it disconnected from my iPhone automatically and vice versa. My suggestion, disconnect from the device you’re not using and only focus on one sole device at a time.3. I wish the charger came with a charging block instead of just a wire. If you don’t have an extra block make sure you get one.4. They are not 100% noise cancelling but it does block out a good amount of outside noise5. My only concern is that when you call someone or someone calls you there’s a weird echo in the background. Like every time you talk it sounds like you’re talking in a tunnel? Again not a big deal just something I’ve noticed.Overall, I’m really happy with this purchase and if you’re considering getting these just do it. I really needed them for studying purposes and they get the job done 100%.","Reviewed in the United States January 19, 2024",AHKIWC4UYPVHMRXYTTGAEA655Q2Q,True,139,Color: SilverStyle: Solo3Set: Without AppleCare+
RB86XLAVC3GP7,B07YVYZ8T5,"5.0 out of 5 stars 10/10, would buy again",Nala,5,"They fit really nice, only problem is they hurt after a prolonged (8 hours consecutively) of wear, great quality, almost soundproof, overall 5 stars. Connects great, no problems and the battery life is amazing. Could go a full 2 days with no recharge.","Reviewed in the United States May 14, 2024",AEA3T5GCVIVOIBO3Z2IHXI7F64HA,True,5,Color: BlackStyle: Solo3Set: Without AppleCare+
R2Z4K7Q4FQDJMI,B07YVYZ8T5,5.0 out of 5 stars Worth it,kwine,5,"Coming from AirPod Pros, these are wonderful. The noise muffling is effective, the sound quality and base are great. I wear them to work out and they don’t slip off, even during burpees. I wear glasses and have a big head and they’re comfortable for hours before the pressure on the glasses arms hurts my ears a bit. If I could change anything, I’d make the earmuff part bigger, but that may just be personal preference. All in all, I recommend them. Good quality for a decent price.","Reviewed in the United States June 9, 2024",AHEIOV53ZFYIE7NQ5B2U236WK3GQ,True,1,Color: BlackStyle: Solo3Set: Without AppleCare+
R1T7HWPFEWQG4F,B07YVYZ8T5,4.0 out of 5 stars Immersive Sound and Stylish Design: A Review of Beats Solo3 Wireless On-Ear Headphones,CMReviewer,4,"The Beats Solo3 Wireless On-Ear Headphones are a fantastic choice for anyone seeking high-quality sound and convenient wireless connectivity. From their sleek design to their impressive battery life, these headphones have quickly become a favorite accessory in my daily life.One of the standout features of the Beats Solo3 headphones is their immersive sound quality. Whether I'm listening to my favorite music, podcasts, or audiobooks, the audio is crisp, clear, and full-bodied, allowing me to fully immerse myself in the listening experience.The wireless connectivity is another major selling point for these headphones. Thanks to the Apple W1 headphone chip and Class 1 Bluetooth technology, pairing the headphones with my devices is seamless and hassle-free. Plus, with up to 40 hours of listening time on a single charge, I never have to worry about running out of battery during long commutes or flights.However, it's important to note that the ear covers on the Beats Solo3 headphones may not fully cover the ears, which can cause discomfort for those with sensitive ears. As someone who prefers over-ear headphones for this reason, I did notice some discomfort after extended periods of use.Overall, despite this minor issue, the Beats Solo3 Wireless On-Ear Headphones are an excellent choice for anyone in search of stylish, high-quality headphones with impressive sound and wireless convenience. Just be mindful of the ear cover size if you have sensitive ears.","Reviewed in the United States May 4, 2024",AHUPUXWKEITRCH5VBW4S7D33I7LA,True,0,Color: Rose GoldStyle: Solo3Set: Without AppleCare+
R1SLLOFV53BSY,B07YVYZ8T5,5.0 out of 5 stars Love these.,Bart,5,"I got my first pair in 2016 for free from Apple when I bought a computer with my student discount. I used them every day until sometime in 2023 when the overhead band snapped. So I bought these to replace them.I have a very small head and stretched earlobes. Most over ear head phones are way too big and fall off if I look down. Or they sit in a way that makes my plugs dig into the pressure point behind the ear lobe. These head phones do neither. They fit snug without hurting my hears, these are on ear not over the ear. They do start to ache if I wear them for several hours with my glasses on though, like if I’m on a flight for a long time. But I think that happens with most headphones.They have great base and are great for noise cancelling. They fully charge in about on hour. Maybe less.Definitely recommend if you’ve got a small head and shuffle to find headphones that stay on. If you’re a giant man with a giant head, don’t get these. They’ll be too small.","Reviewed in the United States May 27, 2024",AFM3O6PY6AYDORNPO4BIMBHD4TYQ,True,0,Color: Rose GoldStyle: Solo3Set: Without AppleCare+
R19GXT39NQ7PIB,B07YVYZ8T5,5.0 out of 5 stars Very loud,Vanessa R.,5,I bought these for my grandson‘s birthday present and I can’t get him to take them off He wears them everywhere he go. They are very loud and clear. It has a great fit Easy to adjust and they do not hurt your ears. Great product.,"Reviewed in the United States June 5, 2024",AGW7KBMOGHZIPTHVRCU7KXQSJLGQ,True,0,Color: BlackStyle: Solo3Set: Without AppleCare+
R1GKNATBFRCI5B,B07YVYZ8T5,5.0 out of 5 stars Insane battery life,Michael,5,"I might just be crazy but I can use these things for like 10+ hours a day and I only need to charge them once a week or so. And on top of that, they can charge from dead to full in like an hour or so. I'm sure there are products with better sound quality and noise canceling but for the low price and insane battery life they're definitely better than most other products ive seen.They're comfortable and easily adjusted, my only complaint is that they're fairly tight so it can hurt your ears after a few hours but that's bound to happen with any headphones.Overall great product, I've used them every day since I bought them and never once regretted my purchase.","Reviewed in the United States June 8, 2024",AF6CZPUOUWRIFXF4VB3VFLZGYCDA,True,0,Color: BlackStyle: Solo3Set: Without AppleCare+
R1NPJGY6ZELSU,B07YVYZ8T5,"4.0 out of 5 stars Perfect for running, ear pads a bit small",M,4,"I run outdoors frequently and was looking for a decent pair of headphones because my area is noisy and I was tired of constantly adjusting my airpods while running. I wanted something with serviceable audio quality that I also wouldn't mind putting through the constant wear and tear of sweaty runs. I was previously wearing a more expensive pair of headphones to run, and while I do prefer those for use at home or for noise-canceling, they were too heavy and hot for running and I was worried about damaging them. The beats solo3 are a better fit for this particular use case (for me).Pros:- the apple bluetooth chip is extremely useful, it makes it so much more convenient to switch between devices! Major QOL improvement over other headphones I own- lightweight and don't make my ears hot during exercise- stay put well even with a lot of movement (I've even worn these while hanging upside down at the gym and they didn't fall off)- blocks out the perfect amount of sound for outdoor running, such that I'm not distracted by ambient noise but I still have enough situational awareness to hear a car honking at me at close range- audio quality is better than any of my in-ear headphones, which is really all I needed in this case- battery life is great, I never find myself running out of battery even though I use these quite a bitCons:- My primary reason for deducting a star: I was expecting these to be over-ear, but they're actually more like on-ear; the ear pads are a bit tight and sometimes they start to hurt my ears after wearing them for longer periods of time, usually after ~45 minutes (I'd be especially cautious if you have any cartilage piercings)- It's a bit hard to use the control buttons sometimes- the double tap to skip is a little finicky, sometimes if I press too quickly in succession or not hard enough it doesn't register. The volume controls are so much smaller and so far to the top and bottom, respectively, that I sometimes accidentally hit the center pause button instead. Still convenient to have controls there, but they have room for improvement. I also find myself wishing that I could use the controls from either side instead of just the one, but that's not a big deal.- I worry that the band might be damaging my hair a bit, as it's a pretty grippy material. It's not pulling out any hair, but I do wish it had a bit more slip since the headphones feel tight enough to stay put regardless","Reviewed in the United States February 25, 2024",AHMFDYUZPJZD6H4D22HIWLJNTG4A,True,14,Color: Rose GoldStyle: Solo3Set: Without AppleCare+
