review_id,product_id,title,author,rating,content,timestamp,profile_id,is_verified,helpful_count,product_attributes
R1AC58E4VI0C2P,B0B6GHW1SX,5.0 out of 5 stars Music to my ears!,DDAY,5,"I just received these Sennheiser Momentum 4 cans about 7 days ago. I bought them for $270, and now I see you can get them $20 less. I made the purchase, despite the negative reviews posted on Amazon simply because I have learned that reviews don't tell the whole story. Such as often times when it comes to Bluetooth devices, there will be a new firware/update that will need to be done, depending on how old the product is. In my case, that was the case. The firmware update was easy, took maybe a minute or two, and I was off and running. I have owned, and sold several headsets, from JBL, Beats, SkullCandy, Sony and yes, Bose. Now, for me, and how I like my music to sound, the Sennheiser 4s are by far the best sounding Bluetooth headphone to grace my melon. Mids, highs and lows work amazingly well. Wind and string instruments sound crisp, and suppurb! The lows/bass work harmoniously with the above mentioned. The Sennheiser equalizer is easy to use, and gets the job done. Touch controls: they take getting used to, but, once you adapt, it works great. Yes, at times you may pause music when touching the right ear cup, but again, you will adapt and recover. Comfort. These cans are extremely comfortable. Even for my large head. Ear cushions are comfy, as is the head cushion. Could it use more cushion? Maybe if you wear them for 8 hrs straight. Weight. Yes, they way a tad bit more than the competition, but, that is to be expected as the battery is slightly larger...hence why you can get up to 60hrs of life on these bad boys! The cans don't feel cheap, they feel solid. And that is something I can appreciate. Are these cans perfect? They are as close to perfect that you will get (IMHO) on Bluetooth headsets. Are there better cans out there? Sure, If you go wired, and spend a few hundred more, then yes. Even Sennheiser wired headsets (depending what model you get) are better, but that's because they are wired. Of course they will sound better.One thing I didn't discuss is noise canceling. They get the job done in fine fashion. I have tried the Sony 5s, and they are slightly better than the Senn 4s. I have made several phones calls, FaceTime calls and the voice activation works wonderfully! I am 7000+ miles away from home, and not one complaint on how I sound, or, how the other end sounds. Lastly, battery life. It claims you can get 60hrs of life once fully charged. That is a fact, as I have tested that claim and 59+ hours the first charge, not quite there for the second charge. Mind you, it will lose an hour or two depending on what you have activated.Accessories. Well, you can listen to these cans wired, especially if you run out of charge. You will need a dongle (I purchased one from Amazon) and they sound great. It will sound different, and you may need to adjust you equalizer. The case the cans come with is a solid, good quality case with charging type C cable, 3.5 wired jack, and an airplane adaptor to plug your cable into so you can listen to movies or music that the plane is playing. And it all is neatly stored within the case.Final thoughts:I honestly feel that alot of the issues that some people reviewed on Amazon is these headsets have ""buggy"" issues, or connectivity issues. Perhaps some just don't know how to do firmware updates, the phone they are using is dated? Not sure, all I know is mine cans fired right up, and I did the update straight away. These cans have Bluetooth 5.2, so it should be able to connect to any device that's out there currently. Yes, touch panel does take some getting used to. Much like driving a truck, then driving a sport car. It may take a moment to get familiar with the vehicle, but once you do, it's a piece of cake.I decided to take a chance, I did my research outside of Amazon reviews, and watched the pros on YouTube, and that's how I ended up buying these. Big risk considering I am a world away. Give em a try, you can always return them if they aren't for you.","Reviewed in the United States June 30, 2024",AFGWGUIMRTG4L3M52MRY7QDFRDIQ,True,4,Color: BlackStyle: OriginalPattern: Headphones
R1FU9D18YOSOS6,B0B6GHW1SX,"5.0 out of 5 stars Ignore the complaints, these are the best.",MA Stewart,5,"Let me say upfront I am a long-time audiophile. I've been immersed in all things high-end audio for more than 40 years, and listened to a lot of stuff, including headphones. Until recently, I've avoided all BT/wireless headphones because they presented too much compromise for my tastes. Noise cancellation adversely effected audio quality and/or gave me a headache. Bluetooth simply didn't cut it for prolonged enjoyment because of the lower, compressed resolution and frequency.But, that all changed in late 2022. On a whim, I tried the newish Sony WH-1000XM5 and was surprised at how good they sounded. The noise cancellation was excellent with little of the rushing elevator sound--and boy, the sound was terrific. For the first time I felt like using a wireless headphone wasn't a big step-down from wired. The M5's soundstage was truly impressive, rivaling my Focal Clear MG wired 'phones. Plus, the M5s were much lighter, more portable, and a bit more fun. The new Sony's were a magnitude better than the older Sonys, as well as anything wireless I'd heard before.That got me wondering: If the Sony's are this good, maybe something by Bowers and Wilkins or Sennheiser would be even better. After all, Sony caters to the mass market, which is generally not that discerning when it comes to audio. Whereas, B&W and Sennheiser typically aim more for the smaller, high-end, audiophile market. So, I started comparing the MX5 to the new B&W Px7 S2 and new Sennheiser Momentum 4 Wireless.Here's what I found:In the past, like the Sonys, the B&Ws and Sennheiser wireless 'phones were disappointments, falling far short (for me) of their wired, non-NC counterparts. No longer, because the new models are dramatically better. Without going into lots of detail (something audiophiles love to do), both the Px7 S2 and the Momentum 4 are a leap forward in every way than their predecessors. Are they better than the MX5, yes, but not by much. As others have said, the MX5 has better software, better NC, is very portable, and pretty comfortable. For many, the slight compromise in audio quality may not be a big deal. I could easily live with the MX5. However, my priority is sound quality since I seldom use NC, and, even if the software of the B&Ws and Sennheisers is only acceptable.Therefore, it came down to the Px7 S2 vs. Momentum 4 for me. The Px7 S2 is much nicer to look at, exuding high quality. The Momentum 4, not so much. In fact, they look like an MX5 knock-off with a few upscale touches. The software of both the Px7 S2 and Momentum 4 is mediocre at best, albeit functional.Now about the sound. The Px7 S2 sound really, really good. Bass, Midrange, Treble are all top notch, if not perfect. They're fun to listen to, with a wide soundstage and energetic dynamics. That said, they're tuned to emphasize the lower frequencies a bit too much for my tastes. At first, this makes music and voices more vibrant and robust, but, over time, it gets tiring, and you're realize what you're hearing isn't all that accurate. If I hadn't listened to the Momentum 4s, I probably would have been quite happy with the Px7 S2.But, I did listen to the Momentum 4. It edges out thePx7 S2 and MX5 with its overall excellent balance and accuracy. Nothing is exaggerated: voices, instruments, timbre, tone are all just right to my ears. Maybe not as exciting as the Px7 S2 upon first listen, but the Momentum 4s seduce you the more you use them. There's no need for lots of equalization, or fiddling to get the sound right; its all been done at the factory. Besides the accurate representation of voices and instruments, the Momentum 4s are monsters when it comes to soundstage. The placement of everything is wide, yet accurate. You can feel the space and air between different instruments, and where the singer is in the studio or stage. Layering and detail are pretty amazing considering these are bluetooth, closed-back 'phones. Sennheiser (Actually: Sonova, because Sennheiser sold their headphone division to this maker of hearing aids in 2021.) did their homework when it came to the Momentum 4. Plus, that 60 hours of battery life is icing on the cake.Let me say this in conclusion. You won't go wrong with any of these three headphones. They're all great. I preferred the Momentum 4 because it represents the overall most satisfying package for the money, but you might prefer the Px7 S2, or the MX5, more. One last word, regarding the buggy software of the Momentum 4: I found none. With the latest updates, Sennheiser/Sonova seems have fixed the issues of poor connectivity and consistency. All system functions worked perfectly the entire time I've been using the Momentum 4s. Enjoy!","Reviewed in the United States January 24, 2023",AEZIPLEDJYRIGVJKWFWRH44LK4TQ,True,375,Color: BlackStyle: OriginalPattern: Headphones
R2CIT7PKP36F3M,B0B6GHW1SX,"4.0 out of 5 stars Exceptional sound quality, great battery life. Noise cancellation is OK. Updates could make it 5/5.",Amazon Customer,4,"Sound quality on these is GREAT - No complaints whatsoever. Music sounds good, TV dialogue is easily understandable, full range of sound is audible. Mic quality is good, but not as top of the line as the sound.Battery life is pretty in line with what's advertised. Expect to charge at least twice weekly if you use your headphones heavily.I'm not crazy about the touch controls. They seem finicky to me, and don't give you good feedback. Instead of being able to adjust transparency on a percentage scale, I'd much rather have a quick switch for going between fully transparent and fully noise cancelling.I had some problems initially with pairing and set up. When connected to my Windows 10 PC, they appear as two different sound devices - Headphones & headset. Quality when connected as a headset is terrible, so make sure it's connected as headphones. Headset connection can be disabled in output devices if it's connecting the wrong one as default, but make sure it's left enabled in the input devices list or you won't be able to use the microphone.The app is...Not great. No desktop version as far as I can tell, so you have to control it from a phone or emulator. I ended up turning off almost all of the app features. Auto adjusting noise cancellation didn't seem to work properly, and I have no idea what ""Comfort calling"" is because most of the app features don't have descriptions (This one isn't listed in the manual either). On head detection has annoyed me with every device I've ever had it on, but I'll concede that before I turned it off this was the least terrible implementation that I've experienced.Initial pairing experience was troublesome, but now that all my devices (Desktop, laptop, phone) are paired I'm able to transition between them all pretty smoothly. Occasionally I'll have to turn bluetooth off on one device or another because I'll get continuous ""Connected/Disconnected"" messages while listening on a different device.Bottom line, if audio quality is your most important factor in looking for headphones, you'll probably be happy with these - I definitely am. That being said, they aren't the most user friendly headphones currently. I'm hoping that software/firmware updates might improve the experience, and I'll update this review if that happens.","Reviewed in the United States September 29, 2022",AGUYYNC6G5RGNFL4HD6LXEB6JJCA,True,31,Color: BlackStyle: OriginalPattern: Headphones
R1IVGTBWY7A3K4,B0B6GHW1SX,"5.0 out of 5 stars First Sennheiser purchase, highly impressed!",Shara Simpson,5,"I obsessively researched before buying these Sennheiser Momentum 4s. I had it narrowed down to Bose QC Ultras, Sony WH-1000XM5s, or these. Ultimately it came down to sound quality for me. The quality and clarity of any music genre I tested it with was far and away superior to Sony or Bose. These don't have the absolute best ANC compared to those, but it's still top tier. If you are looking for a fully immersive, lost in the music type of experience with your headphones, Sennheiser is the way to go. And the battery life is absolutely insane! I've had these for 3 weeks with almost daily use (at least an hour a day but usually more) and I haven't had to charge them at all since the first initial charge - they are still sitting at 40%! Sennheiser says they should last 60 hours with ANC at half volume and that seems accurate. No other headphones come close to that kind of battery life. I really love the Sennheiser app as well, it's packed full of useful features. The EQ on these is fully adjustable using the app. I used the ""My Sound Check"" feature and created sound profiles for various genres of music and places of use, but you can also manually adjust the 5-band EQ. You can save each sound profile and even use the Sound Zone feature to have the headphones automatically switch to a different sound profile based on your location (ex. gym settings versus work settings). There is also a Bass Boost toggle if you want head pounding bass. I really like the two-tone look of these - I got them in white, but the headband is covered in a very nice textured tan fabric and the earcups are tan as well. They are extremely comfortable for hours of use at a time. The case is super sturdy and nice. I put a size comparison pic in this review with the case next to my Kindle - the case is large since the headphones don't fold. This makes them less than ideal for use when traveling because they do take up a lot of space in your bag. The first week of use, I did have connection issues. They would randomly disconnect from whatever music streaming service I was using at the time and I would have to reconnect. Thankfully that went away and I haven't had any further connectivity problems. I don't use these for phone calls so can't review the mic or call quality yet. Overall I think I made the right choice with these, and am extremely happy with my purchase. I would recommend to anyone!","Reviewed in the United States June 29, 2024",AFPBVELJBKTT3FYLFSJ7RHINHVFA,True,2,Color: WhiteStyle: OriginalPattern: Headphones
R27AA754NCZRA9,B0B6GHW1SX,"3.0 out of 5 stars Good on paper, bad on my head",Sam,3,"I was going back and forth between Sony WH-1000XM5 (XM5) and these headphones (SM4), and I decided to give these a shot since at the time of this purchase, I was able to get these for $279.83 before taxes while the XM5 are listed at ~$400 before taxes.On paper, the SM4 sounded great, double the battery life, supposedly better sound quality, and a not-so-shabby noise cancelling.However, after trying them for a week, I decided to return them. I will list the pros and cons below.PROS 1. Long battery life – I only charged it once during the whole week and it was still going strong. 2. Very solid construction – premium materials that feel good to the touch. 3. Pretty nice carrying case – feels solid and durable, and you don't need to fold the headphones when you put it in so it's simpler to stow in case. BUT I have to reset the positions of the earcups to fit into case, which means I have to always re-adjust to my head size before putting it on. 4. Great sound – I'm not an audiophile, but it sounded good. A friend said he picked up on more chords behind a Taylor Swift song that he hasn't heard before (he listens to Taylor Swift 24/7). 5. Sleek design – unlike the SM3, the SM4 has design that I like: minimalistic and modern.CONS 1. Subpar app-headphone interface – the app is glitchy, and I find myself wait around 10 seconds for the app to say ""connected"" to the headphones (even though the headphones are connected to my iPhone via Bluetooth); after which point, I can go in and change some settings. Also, I did have some stutters in the app that gave me an overall feel of unpolished. 2. Too heavy and too much clamping force – on paper, the weight and clamping force differs by 0.1-ish, but from trying out my friends' XM5s and my SM4, I feel a pretty noticeable difference in how hefty the headphones feel on my head. Simply put, SM4 feels tight on my head and XM5 feels like I can forget that I’m wearing them after a while—this is personal preference, but personally, SM4 felt less comfortable and a tad too heavy for long study sessions. 3. Headache-inducing noise cancelling – the noise cancel isn't as good as the XM5 indeed, but I think there is a bigger problem: the noise cancelling feels peculiarly headache-y. I have airpod pros, plus I have tried the XM5s, and I have to say, the SM4's noise cancelling is by far my least favorite. If I were to describe it, I would say it feels like the feeling I get from being on an airplane for 5+ hours with headphones on. All in all, I opted to have no noise cancelling on due to this uncomfortable feeling it gives me. 4. Touch control – the touch control is pretty responsive, but even if I touch the very edge of the earcups, it registers as a gesture, which gets annoying when I'm trying to adjust my headphones or taking them off for a second. After a few days, I almost wanted to turn them off. ALSO, XM5's cupping gesture to activate transparency mode is extremely desirable, especially since I'm a college student who finds myself studying with my friends a lot. AND the SM4 does not have a gesture to turn off noise cancelling; I have to either pinch in/out multiple times or go into the app and adjust the slider, and it gets very annoying quick.If you have read this far, I applaud your diligence to find the best headphones for you. Personally, I have ordered the XM5 and I will try it on and probably keep it. BUT, an advise for you if you are like me. I dug through the internet and have looked at countless written, video, and professional reviews of so many headphones, but I have to say, it all comes down to personal preference. You MUST go to a Best Buy, where they have headphones on racks that you can try on for yourself. Also, don’t be afraid to order them on amazon and try it out for a week and return them and move onto the next one. Amazon’s return policy is pretty good and if you use the headphones with care and keep the packaging that the headphones came in, you can most likely return them for free. I hope you find the right pair of headphones for yourself, reader.","Reviewed in the United States February 3, 2023",AE4ZGTN75KVUPUK7VO5OXU4BKWJA,True,119,Color: BlackStyle: OriginalPattern: Headphones
R3C9NCI2LLQD48,B0B6GHW1SX,5.0 out of 5 stars Sennheiser vs Sony vs Apple,Calder Akin,5,"After watching countless hours of review videos and sampling multiple headphones firsthand I narrowed my final selections down to the Momentum 4’s ($280 currently on Amazon), and a pair of certified refurbished (eBay) AirPod Max’s ($390) and Sony Xm5’s ($280). My budget was under $400. I also considered the Bowers & wilkins px7 s2 but didn’t have a chance to try them out firsthand so I excluded them from my selection process.Ultimately I decided to go with the Sennheisers. To me the Sonys are the most comfortable (so light, it’s as if there’s nothing on your head!) but the ear-cup itself is the shallowest of the three- my ears stick out a little so this was a consideration. Also, I have an iPhone and many reviews said the audio was better on the XM5’s when connected to androids due to the Ldac etc. The Apples sound the best when it comes to immersive experience (spacial audio wow!) but the limited EQ flexibility, and the extra money I’d have to spend on a real case plus wires to plug into a jack when flying outweighed (no pun intended- but these things ARE heavy!) the luxury feel.The Momentum 4’s (M4) are very comfortable with plush faux leather on the ear cups. I wish they were a bit bigger of an oval shape (something to consider if you have big ears) but for me they fit just right. The ear cup has more substantial padding and recesses slightly deeper than the Sonys over the ear. All three of these headphones have the same sliding headband design which I really like.Where the M4’s really shine however is in the audio department. It just sounds so clean in my opinion. I own a pair of Beats Studio 3’s which are my go-to gym headphones. You don’t get a “pounding” heavy sound with the M4’s like you do with the Beats but that’s fine with me. They also don’t get as loud as my Beats but I didn’t buy them for either of these reasons. I wanted a pair of headphones for traveling, taking the dog for a walk, and listening to music/tv around the house. Speaking of watching TV with them, there’s an EQ preset through the app which is designed for podcasts. I set the headphones to this feature the other night while watching a basketball game and it sounded amazing! Also there’s this cool feature for phone calls which you can adjust through the app where it sounds like you aren’t wearing headphones and you can hear your own voice clearly - muffled sounding phone calls are a thing of the past!Overall I’m incredibly happy with my purchase. They aren’t quite as comfortable as the Sony’s- it’s not that they’re uncomfortable it’s just they have more weight to them and more of a clamp on the head. And they don’t have the seamless syncing ability and build quality of the Apples. Also, their noise cancelling and transparency mode is slightly below both. But for the price and sound quality these were the best fit for me.Pros:* price ($279 on Amazon currently which is around $70 below retail)* Clean, pure audio that sounds good regardless of your favorite genre of music.* Comfort- plush pads with ample space for my ears to be enclosed. Easily adjustable sliding headband.* Rigid case (slightly smaller than the XM5’s)* Battery life (60 hours!)* Auto-off feature when taken off and not used for 15 minutes or more depending on how you set it (great if you often forget to turn off your headphones!)* Easy to navigate app. I know some have complained about the app but I’ve had zero issues with it- maybe the firmware has been fixed with the most recent update?* No noticeable hissing sound with ANC.* 2 year manufacturers warranty* Usb-c and traditional 3.5mm connectivity. Also they come included with a two-prong airplane jack.Cons:* I appreciate the creativity making most of the functions of the headphones accessible via touchpad on the right ear-cup, but the pinching/expanding feature to adjust ANC/transparency is useless. Thankfully you can just double tap the headset to switch between these settings.* They don’t get super loud, well at least compared to my Beats, so I wouldn’t consider these a great gym option. (Edit: there’s a thread on Reddit that gives some pointers on how to increase the overall volume- especially if you have an iphone. Worth checking out, the adjustments I made did seem to work)* They aren’t water/sweat resistant, which is another reason not to wear them to the gym.* ANC is effective but not on the level of the Sonys or Apples.* The auto pause feature is pretty sensitive. Something to keep in mind if you adjust your headphones often during usage. If you lift them off your head, even to just change position the audio can unintentionally pause. (Edit: there’s a way to turn off this function in the app)TLDR; Best Bluetooth noise cancelling over ear headphones currently available.","Reviewed in the United States January 27, 2023",AGGIZAHMHFHO4J6OU7FMAHUD4MMA,True,154,Color: BlackStyle: OriginalPattern: Headphones
R15B34B8ZDY89M,B0B6GHW1SX,5.0 out of 5 stars Great sound and battery life with a couple comprimises,Grant Bohn,5,"If your priority is sound quality and battery life, these are the headphones to get. I listen primarily to electronic music and the bass is just right. It's clear and full, but not overbearing once EQ'd down a couple dB in the app. What you give up for this is comfort and ANC quality. These are not the sort of headphones you forget that you're wearing. They definitely have some heft to them and a higher clamping force than others. They do feel solidly built though. The ANC works well but from other reviews I've read, it falls a bit short compared to Bose and Sony's offerings. It's a give and take, but the momentum's deliver on fantastic sound and industry leading battery life if that's what you're looking for.","Reviewed in the United States June 9, 2024",AGE7TIJAE6AOGRW2PLXE2CTUAV3Q,True,2,Color: GraphiteStyle: OriginalPattern: Headphones
R3HDZ4YGKNQ6L5,B0B6GHW1SX,3.0 out of 5 stars Comfortable + Great Sound + Connection Problems + Poor touch controls,Ryan,3,"I just got these headphone. I really like how they feel and sound. The problem I have with these headphones is largely related to its bluetooth features and controls. I have these headphones connected to my phone and my TV. I live in an apartment. As such, these headphones constantly get confused between which bluetooth source to connect to. The result is choppy, broken audio or no audio at all and problems with touch controls.When its my phone's audio that's choppy the solution is to disconnect the tv using the headphone app. However, shortly after disconnecting the tv, the tv reconnects on its own and the problem returns. When its the TV audio that choppy, I have to turn off bluetooth on my phone completely to solve the problem. This again is due to the headphones automatically connecting to the unwanted source.The controls for this headphone are wonky to say the least and often don't work. For example, I will answer a phone call with a touch control but then can't end the phone call with a touch control. Another example is that I can't start or resume playing Spotify on my phone using touch controls. But while the music is playing I can pause, skip, or change the volume. I think some of these problems may be due to the headphones connecting to my tv at the same time. I suspect that my attempts to play or resume music are being sent to my TV (which is off) and not to my phone.The headphone's app is largely useless for attempting to solve these problems. The likely solution to all of these problems is to 'forget' my tv. Meaning, everytime I want to connect my headphones to my tv I would have to pair them with my tv. At this point, I'm likely to return these headphones due to all of these problems.To put all of the above in perspective. I have a pair of Pixel earbuds and I experience none of the above problems.","Reviewed in the United States June 18, 2024",AF4KKUJCDDGW4ZZLQN23QJMOYFCQ,True,0,Color: Black/CopperStyle: Special EditionPattern: Headphones
R38QYC50V9S55Y,B0B6GHW1SX,5.0 out of 5 stars Winner of my search for headphones,Chip chipperson,5,"I wanted to find a really good set of over the ear headphones to use at the office and for general use. I tried a few other highly rated models at varying price points. The momentum 4 was the winner for me. I had been using Beats Studio noise canceling earbuds and before that a pair of beats special edition solos. The solos hurt my ears after 2 hours, while the earbuds were great, but they just don’t last long enough for my current work environment without having to charge. Additionally, the earbuds had bad sound wuality for the microphones so they weren’t ideal for phone and teams calls.I orders the sennheiser as my higher end option to evaluate. At first I was a little skeptical of they were going to be the ones. I found that just pairing them to my iPhone worked and was easy, but it did t allow me to use the sennheiser app. I cleared them from my phones Bluetooth lost and paired again using the app, and all was good. The app offers a pretty decent amount of customization and guides you through it. I think the app works well once you get it all configured correctly. There are other headphones on the market that will really rattle your head with bass such as the beats and some of the skullcandy headphones. I found that I don’t care for those headphones when I’m listening to podcasts or audiobooks, they are just too tuned for music with deep and solid bass. The momentum 4 delivers some very tight and punch bass. I can’t say I’m wow’d by the bass I get for every track I listen to, but when I get into a bass heavy track or album, I find myself completely wow’d by the performance and range of these momentum 4’s. I believe these are a truer representation of how most songs are actually recorded. The clarity, crisp, clean, tight, punchy, deep, and full sound from these headphones is fantastic. I think my podcasts sound great, music sounds awesome, across a very wide variety of genres. The clarity of my voice in a loud office setting to take phone calls and teams calls is great. The noise canceling is always on unless you adjust to transparency to some degree, and I would have expected this to hinder battery life, but these do a great job canceling ambient noise and fully live up to the claims of 60plus hours of use between charges.I wear these at a minimum 6 hours a day, sometimes as much as 10. They actually keep a connection far better than I expected. I have these paired to my work pc and my iPhone at the same time and can get up and move around our office and leave devices at my desk and never lose connection. While connected to two devices it does a good job seamlessly transitioning from one device to the other based on what apps or programs you are running.Last thing I can think to comment on are the headphone controls. The right earpiece is a touch sensitive pad that picks up on specific but very intuitive gestures. Pausing music, changing tracks, adjusting ANC and transparency, and volume is super easy. The only one of these I think is a little touchy is the volume control, which works fine but it seems a little inconsistent as to how much it adjusts each time. I’ve never had a situation where it was too sensitive and blasted me with sound unexpectedly.Overall, I do recommend these for the money. Like mine so well, I bought a pair for my wife as she was so impressed with mine as well.","Reviewed in the United States April 4, 2024",AEHRRPY3SLGEJSCWGWWY75QNAMUQ,True,6,Color: WhiteStyle: OriginalPattern: Headphones
R3CBBVTHO6OEW6,B0B6GHW1SX,3.0 out of 5 stars I wanted to love these...,Joe,3,"I own another pair of Sennheiser headphones, the 598SE's, and they're spectacular. They're spacious, clear, wonderful sound stage, light, and powerful.After trying a few other brands of ANC headphones, I learned about the Momentum 4's and immediately thought: OK, Sennheiser is gonna knock it out of the park.Unfortunately, they only got to first base.First, the good:I love how these look, especially the copper accented special edition's that I got. The fabric on the top of the headband makes it look classy.The sound is wonderful. Absolutely the best thing about this product. The sound stage compared to the other major competitors is still a step above.The carrying case is nice, roughly the same size as their competitors. I did wish it could have been a bit smaller (this goes for the competitors too).The swipe controls are the same as a major competitor, which you can also lock. I really like the swipe controls, though having physical buttons would be nice too, especially if you lock the swipe controls.The battery life is beyond spectacular. It destroys their competition and you could probably wear these for several days without needing a charge.Now, the bad:They're quite heavy. The weight on paper seems like they'd be fine, but while wearing them I quickly got fatigued and felt frustrated wearing them (while their competitors, it took much longer to get to that point).They get hot. Not the headset itself, but they form a seal on your head and you'll feel your ears cooking after a short while in a comfortable temperature room. This was another reason I frequently took them off.The earcups are small. They seem EVER SO SLIGHTLY larger than their competitors but... not enough. The 598SE's have big beautiful spacious earcups but these (and their competitors) are very cramped.The ANC is notably weaker in a perfect environment without noise playing than others. With others, I could barely make out any words while playing a song or video rather loud as a test. With the Sennheisers I could make out quite a bit of words and sound. The Momentum 4's have fewer ANC microphones than the competitors.The ANC also almost drops out completely if you have ""windy environment mode"" turned on, for some reason. (Note: I did not test them in a windy environment) If the ANC is important, make sure you have this setting *TURNED OFF* in the app.The app is ok, but what you can ""control"" seems finicky and sometimes its as if changing settings did nothing.The call volume is like 5 generations ago hands-free headset. Very poor quality. The person I tested them with said it sounded like I was outdoors or in a noisy environment when I was in a quiet room.The clamping is quite tight and becomes painful very quickly. It puts a lot of pressure around your ear which can become very uncomfortable. A friend said they loosen up after a couple days but mine stayed far too tight. It felt like a vice. [If it doesnt bother you, this could be a plus, as they seem like they will hold their shape and tightness for a long time]Even lacking almost any physical buttons, they basically threaten you to not get these wet. There is no waterproofing on these. Handle with care.The rest:These are by no means a ""bad"" set of wireless ANC cans, and the price is good, especially if you can get them on sale. If you're just going to be using them in the office or on a commute, they'll probably be fine, especially if you dont want to dole out extra cash for a minor upgrade in ANC. The middling ANC was quite disappointing, but if you have some sounds playing while its on, it works together to make most noises disappear. Unfortunately, sometimes I want to be able to just block out the world, and the Momentum 4's were just not up to the task compared to others.I was really hoping the earcups would be larger and more similar to other Sennheiser headsets I've tried/owned, but they seemed to want to copy the competition, which is a shame. If the cups were larger and the clamping a bit less harsh, I would have accepted their flaws and gone with these. With the laundry list of negatives, you can probably tell why I didnt.Also please note: I am a big guy, and I probably have a larger than average head. This could be contributing to the clamping pressure.Listening to anything on these was a treat. Everything sounded beautiful. Other brands should take a few notes on Sennheisers drivers.I had two main requirements: comfortable ear cups (failed) and long battery life for an upcoming flight (wow did these pass with not flying colors but to outerspace and back colors!). Unfortunately, as they were just not at all comfortable (I could wear my 598SE's for days and not even realize they're there). Their long battery life did not offset the negatives.This may all not be true for you. They definitely stand out and are far more attractive than the competition (at least, the special edition versions are). I am definitely biased towards Sennheiser as I have loved so many of their headsets, but found these disappointing in far too many areas. A few design tweaks could have made these one of the best over the ear cans on the market. As is, they're probably ranked 4th imho.","Reviewed in the United States December 4, 2023",AHECMYUWUWYVG4EVIGA4QI6LUO4A,True,6,Color: Black/CopperStyle: Special EditionPattern: Headphones
